id,family,verdict,invariants,scene,observable,failure,finding,patch
L01,A. Droits,partiel,I01,Une personne sans papiers ni adresse demande eau et soins.,accès effectif sans identifiant stable,un besoin vital attend la régularisation,"L'universalité est posée, mais le mode de preuve minimal n'est pas défini.",Créer une preuve de présence non exclusive et un accès d'urgence sans dossier.
L02,A. Droits,robuste_sur_le_papier,I01 I13,Une commune vote l'exclusion d'une minorité religieuse.,délai jusqu'à protection et maintien du droit de rester,la seule protection réelle est l'exil,"La saisine extérieure, la protection ciblée et le droit au retour répondent déjà au cas.",Tester P-003 avec menace locale et confidentialité.
L03,A. Droits,partiel,I10,Une traduction change la portée d'une obligation pénale.,écarts entre versions et corrections avant sanction,une version pivot prévaut de fait,"Le recours existe, mais pas la règle conservatoire pendant le conflit de versions.",Suspendre la charge irréversible et retenir provisoirement l'interprétation la moins privative.
L04,A. Droits,partiel,I01 I11,Une personne quitte un commun qui contrôle logement et emploi.,jours de logement et revenu conservés après sortie,la sortie entraîne une perte matérielle,"La portabilité est forte, mais les actifs liés à l'appartenance restent ambigus.","Créer un paquet de sortie garantissant logement, revenu-pont, données et recours."
L05,A. Droits,rupture,I01 I09,Une panne numérique efface temporairement identité et droits sociaux.,services accessibles hors ligne pendant 14 jours,un guichet refuse faute de vérification réseau,La CCT protège la portabilité numérique mais ne définit pas de constitution hors ligne.,"Imposer justificatifs locaux, registres répliqués et continuité papier/radio."
L06,B. Écologie,rupture,I02 I15,Une sécheresse rend simultanément impossible le plancher d'eau et le plafond de prélèvement.,privation par groupe et état du bassin,le conflit est tranché discrétionnairement,L'ordre des priorités ne suffit pas lorsque deux obligations constitutionnelles deviennent physiquement incompatibles.,"Ajouter un protocole de pénurie impossible : minimum biologique, tirage/triage public, égalité de sacrifice, révision quotidienne."
L07,B. Écologie,partiel,I03 I08,La fourchette scientifique des limites varie de 40 % selon les modèles.,décisions sous chaque borne et coût de l'erreur,la médiane devient vérité politique,"La pluralité est prévue, mais pas la décision robuste à l'incertitude profonde.",Employer scénarios minimax-regret et publier les pertes de chaque borne.
L08,B. Écologie,robuste_sur_le_papier,I08,Un territoire délocalise sa pollution dans ses importations.,empreinte incorporée vérifiée,émissions territoriales baissent tandis que l'empreinte monte,La comptabilité importée et les audits hors cible couvrent explicitement le déplacement.,Préspécifier les données minimales quand le fournisseur refuse l'audit.
L09,B. Écologie,partiel,I12,Des quotas personnels sont rachetés via prête-noms.,concentration d'usage par bénéficiaire effectif,10 % contrôlent plus de 40 % des quotas,"La concentration est interdite en principe, mais les prête-noms ne sont pas traités.","Relier quotas, bénéficiaires effectifs et audits de réseaux sans notation civique générale."
L10,B. Écologie,partiel,I02 I08,Une technologie efficace provoque un fort effet rebond.,flux physiques absolus avant/après,l'intensité baisse mais le plafond absolu est dépassé,Le plafond protège en théorie ; le corridor ne précise pas l'ajustement automatique au rebond.,Réduire l'enveloppe ou relever le prix marginal dès divergence absolue préspécifiée.
L11,C. Échelles,partiel,I07 I10,Trois niveaux se déclarent compétents pendant une crue.,minutes jusqu'à mesure conservatoire,le conflit retarde la protection vitale,"La mesure conservatoire existe, mais pas le départage si plusieurs niveaux sont également capables.","Donner la main au premier niveau sûr, avec journal et transfert obligatoire après revue rapide."
L12,C. Échelles,robuste_sur_le_papier,I07 I11,Une petite île subit un dommage créé par une grande fédération.,"accès de l'île au juge, suspension et réparation",le poids démographique bloque le recours,"Dommage exporté, droits universels et justice transfrontalière justifient déjà la montée d'échelle.",Tester le délai et le financement autonome du requérant.
L13,C. Échelles,partiel,I04 I07,Une compétence mondiale nécessaire devient inutile après innovation.,délai et coût de restitution,la compétence survit sans objet,"Le réexamen est prévu, mais aucune preuve positive de redescente n'est exigée.",Créer un test périodique de compétence nulle et une procédure de démontage.
L14,C. Échelles,rupture,I07 I11,Une région riche quitte la péréquation la veille d'un transfert.,continuité des paiements et dette de sortie,la sortie permet d'annuler des obligations acquises,"Le refus est politiquement envisagé, mais le droit de sécession et ses dettes ne sont pas réglés.","Définir sortie libre mais non instantanée : continuité, audit des attaches, dette bornée et arbitrage."
L15,C. Échelles,partiel,I03 I09 I12,Une métropole domine dix territoires dans un commun logistique.,veto effectif et dépendances contournables,le vote formel masque le monopole matériel,"La représentation existe, mais la puissance d'infrastructure peut annuler l'égalité de voix.","Mesurer dépendance, financer des routes de secours et pondérer les obligations sans acheter des voix."
