object_id,object_kind,source_artifact,source_locator,source_sha256,support_type,runtime_status,non_regression_limit
CAP.COMMAND_EFFECT_VERIFICATION,capability,Atlas_3_0_final.zip,atlas.atl::command_contract,dbd91ee1e2589c6cbe45ea0325bdc19a2c5fe257037e7d64e42d0c43fa06cbbc,direct,recovered_candidate_unvalidated,Does not prove downstream effect
CAP.EFFECTIVE_PRESENCE_ASSESSMENT,capability,Atlas_3_0_final.zip,atlas.atl::self_model,dbd91ee1e2589c6cbe45ea0325bdc19a2c5fe257037e7d64e42d0c43fa06cbbc,direct,recovered_candidate_unvalidated,Does not replace change lifecycle
CAP.TERMINAL_RECOVERY_ASSESSMENT,capability,Atlas_3_0_final.zip,atlas.atl::terminal+reaction_recovery,dbd91ee1e2589c6cbe45ea0325bdc19a2c5fe257037e7d64e42d0c43fa06cbbc,direct,recovered_candidate_unvalidated,Nominal stop is not effective recovery
CAP.DEFENSE_ACCOUNTABILITY_BOUNDARY,capability,DOSSIER_SUR_MODELE_9_2.zip,defense boundary,ade0be273e89c7c8e80e731aa0230dc2b9b4b4d5988cc1b869effbbabaea2ab4,direct+10x_support,recovered_candidate_unvalidated,Does not authorize sensitive disclosure
CAP.TEMPORAL_POWER_ASSESSMENT,capability,DOSSIER_SUR_MODELE_9_2.zip,rate limit+decision time+rhythm power,ade0be273e89c7c8e80e731aa0230dc2b9b4b4d5988cc1b869effbbabaea2ab4,direct+10x_support,recovered_candidate_unvalidated,Does not treat all delay as domination
CAP.RELATION_LOSS_ASSESSMENT,capability,DOSSIER_SUR_MODELE_9_2.zip,relation loss,ade0be273e89c7c8e80e731aa0230dc2b9b4b4d5988cc1b869effbbabaea2ab4,direct+10x_support,recovered_candidate_unvalidated,Object survival is not relation survival
CAP.CO_MAINTENANCE_GOVERNANCE,capability,CORPUS_10_1_DEPLOY.zip,modules 12-13 co-maintenance topology,b8a99ad3defb5d6155e350dfb6dd4937608258cab1b6ec7eb08e56b99fb3c4dc,direct,recovered_candidate_unvalidated,Does not grant authority by declaration
CAP.PRIVACY_RECOURSE_BOUNDARY,capability,DOSSIER_SUR_MODELE_9_2.zip,privacy distinction,ade0be273e89c7c8e80e731aa0230dc2b9b4b4d5988cc1b869effbbabaea2ab4,direct+10x_support,recovered_candidate_unvalidated,Does not override platform or legal privacy rules
CAP.FUNCTIONAL_DECOUPLING_ASSESSMENT,capability,Atlas_3_0_final.zip,atlas.atl::patchbay,dbd91ee1e2589c6cbe45ea0325bdc19a2c5fe257037e7d64e42d0c43fa06cbbc,direct,recovered_candidate_unvalidated,Does not presume technical separability
RULE.NUMERIC_CONFIDENCE_REQUIRES_CONVENTION,rule,Atlas_3_0_final.zip,atlas.atl::confidence,dbd91ee1e2589c6cbe45ea0325bdc19a2c5fe257037e7d64e42d0c43fa06cbbc,direct,candidate_rule,Does not manufacture calibration
RULE.CONCLUSION_DISCIPLINE,rule,CORPUS_10_1_DEPLOY.zip,positive conclusion duty+continuation burden,b8a99ad3defb5d6155e350dfb6dd4937608258cab1b6ec7eb08e56b99fb3c4dc,direct,candidate_rule,Does not restore fixed answer order
PROCEDURE.EXPAND_THEN_AUDIT,procedure,Atlas_3_0_final.zip,atlas.atl::Expansion+Audit,dbd91ee1e2589c6cbe45ea0325bdc19a2c5fe257037e7d64e42d0c43fa06cbbc,direct,candidate_procedure,Implicit invocation remains disabled
