capability_id,module,block,source_key,projection,projection_id,semantic_role,line_start,line_end,a2_role,a2_confidence
CAP.PROTOCOL_ROBUSTNESS,2,protocol_capacity_split,@block,SCHEMA,SRCFRAG.M02.PROTOCOL_CAPACITY_SPLIT,source_fragment,99,106,,
CAP.PROTOCOL_ROBUSTNESS,2,protocol_capacity_split,rule,RULE,RULE.M02.PROTOCOL_CAPACITY_SPLIT.RULE,unresolved_rule,100,100,atomic_rule,high
CAP.PROTOCOL_ROBUSTNESS,2,protocol_capacity_split,ask,SCHEMA,SCHEMA.M02.PROTOCOL_CAPACITY_SPLIT.ASK,unknown_ask_role,101,105,unordered_probe,high
CAP.PROTOCOL_ROBUSTNESS,2,cross_channel_test,@block,SCHEMA,SRCFRAG.M02.CROSS_CHANNEL_TEST,source_fragment,113,116,,
CAP.PROTOCOL_ROBUSTNESS,2,cross_channel_test,run,PROCEDURE,PROC.M02.CROSS_CHANNEL_TEST.RUN,run_sequence,114,114,ordered_procedure,high
CAP.PROTOCOL_ROBUSTNESS,2,cross_channel_test,rule,RULE,RULE.M02.CROSS_CHANNEL_TEST.RULE,unresolved_rule,115,115,literal_implication,high
CAP.PROTOCOL_ROBUSTNESS,10,robustness_test,@block,SCHEMA,SRCFRAG.M10.ROBUSTNESS_TEST,source_fragment,91,94,,
CAP.PROTOCOL_ROBUSTNESS,10,robustness_test,compare,SCHEMA,SCHEMA.M10.ROBUSTNESS_TEST.COMPARE,source_field,92,92,,
CAP.PROTOCOL_ROBUSTNESS,10,robustness_test,rule,RULE,RULE.M10.ROBUSTNESS_TEST.RULE,unresolved_rule,93,93,atomic_rule,high
CAP.PROTOCOL_ROBUSTNESS,15,protocol_capacity,@block,SCHEMA,SRCFRAG.M15.PROTOCOL_CAPACITY,source_fragment,23,30,,
CAP.PROTOCOL_ROBUSTNESS,15,protocol_capacity,rules[0],RULE,RULE.M15.PROTOCOL_CAPACITY.RULES_01,unresolved_rule,24,28,atomic_rule,high
CAP.PROTOCOL_ROBUSTNESS,15,protocol_capacity,rules[1],RULE,RULE.M15.PROTOCOL_CAPACITY.RULES_02,unresolved_rule,24,28,atomic_rule,high
CAP.PROTOCOL_ROBUSTNESS,15,protocol_capacity,rules[2],RULE,RULE.M15.PROTOCOL_CAPACITY.RULES_03,unresolved_rule,24,28,atomic_rule,high
CAP.PROTOCOL_ROBUSTNESS,15,protocol_capacity,require,SCHEMA,SCHEMA.M15.PROTOCOL_CAPACITY.REQUIRE,unknown_require_role,29,29,criteria,high
CAP.PROTOCOL_ROBUSTNESS,15,protocol_portability,@block,SCHEMA,SRCFRAG.M15.PROTOCOL_PORTABILITY,source_fragment,32,35,,
CAP.PROTOCOL_ROBUSTNESS,15,protocol_portability,vary,SCHEMA,SCHEMA.M15.PROTOCOL_PORTABILITY.VARY,source_field,33,33,,
CAP.PROTOCOL_ROBUSTNESS,15,protocol_portability,rule,RULE,RULE.M15.PROTOCOL_PORTABILITY.RULE,unresolved_rule,34,34,literal_implication,high
CAP.HIDDEN_COST_ASSESSMENT,2,performance_cost_test,@block,SCHEMA,SRCFRAG.M02.PERFORMANCE_COST_TEST,source_fragment,108,111,,
CAP.HIDDEN_COST_ASSESSMENT,2,performance_cost_test,require,SCHEMA,SCHEMA.M02.PERFORMANCE_COST_TEST.REQUIRE,unknown_require_role,109,109,criteria,high
CAP.HIDDEN_COST_ASSESSMENT,2,performance_cost_test,rule,RULE,RULE.M02.PERFORMANCE_COST_TEST.RULE,unresolved_rule,110,110,compound_unresolved,unresolved
CAP.HIDDEN_COST_ASSESSMENT,3,hidden_load,@block,SCHEMA,SRCFRAG.M03.HIDDEN_LOAD,source_fragment,64,67,,
CAP.HIDDEN_COST_ASSESSMENT,3,hidden_load,fields,SCHEMA,SCHEMA.M03.HIDDEN_LOAD.FIELDS,declared_structure,65,65,,
CAP.HIDDEN_COST_ASSESSMENT,3,hidden_load,rule,RULE,RULE.M03.HIDDEN_LOAD.RULE,unresolved_rule,66,66,literal_implication,high
CAP.HIDDEN_COST_ASSESSMENT,15,hidden_cost,@block,SCHEMA,SRCFRAG.M15.HIDDEN_COST,source_fragment,13,21,,
CAP.HIDDEN_COST_ASSESSMENT,15,hidden_cost,fields,SCHEMA,SCHEMA.M15.HIDDEN_COST.FIELDS,declared_structure,14,14,,
CAP.HIDDEN_COST_ASSESSMENT,15,hidden_cost,rules[0],RULE,RULE.M15.HIDDEN_COST.RULES_01,unresolved_rule,15,20,atomic_rule,high
CAP.HIDDEN_COST_ASSESSMENT,15,hidden_cost,rules[1],RULE,RULE.M15.HIDDEN_COST.RULES_02,unresolved_rule,15,20,atomic_rule,high
CAP.HIDDEN_COST_ASSESSMENT,15,hidden_cost,rules[2],RULE,RULE.M15.HIDDEN_COST.RULES_03,unresolved_rule,15,20,atomic_rule,high
CAP.HIDDEN_COST_ASSESSMENT,15,hidden_cost,rules[3],RULE,RULE.M15.HIDDEN_COST.RULES_04,unresolved_rule,15,20,literal_implication,high
CAP.FRAMING_REGRESSION_DETECTION,6,late_arrival_probe,@block,SCHEMA,SRCFRAG.M06.LATE_ARRIVAL_PROBE,source_fragment,38,45,,
CAP.FRAMING_REGRESSION_DETECTION,6,late_arrival_probe,ask,SCHEMA,SCHEMA.M06.LATE_ARRIVAL_PROBE.ASK,unknown_ask_role,39,43,unordered_probe,high
CAP.FRAMING_REGRESSION_DETECTION,6,late_arrival_probe,rule,RULE,RULE.M06.LATE_ARRIVAL_PROBE.RULE,unresolved_rule,44,44,literal_implication,high
CAP.FRAMING_REGRESSION_DETECTION,8,late_arrival_regression,@block,SCHEMA,SRCFRAG.M08.LATE_ARRIVAL_REGRESSION,source_fragment,39,47,,
CAP.FRAMING_REGRESSION_DETECTION,8,late_arrival_regression,trigger,SCHEMA,SCHEMA.M08.LATE_ARRIVAL_REGRESSION.TRIGGER,source_field,40,40,,
CAP.FRAMING_REGRESSION_DETECTION,8,late_arrival_regression,ask,SCHEMA,SCHEMA.M08.LATE_ARRIVAL_REGRESSION.ASK,unknown_ask_role,41,45,unordered_probe,high
CAP.FRAMING_REGRESSION_DETECTION,8,late_arrival_regression,rule,RULE,RULE.M08.LATE_ARRIVAL_REGRESSION.RULE,unresolved_rule,46,46,compound_unresolved,unresolved
CAP.FRAMING_REGRESSION_DETECTION,10,framing_drill,@block,SCHEMA,SRCFRAG.M10.FRAMING_DRILL,source_fragment,60,72,,
CAP.FRAMING_REGRESSION_DETECTION,10,framing_drill,run,PROCEDURE,PROC.M10.FRAMING_DRILL.RUN,run_sequence,61,70,ordered_procedure,high
CAP.FRAMING_REGRESSION_DETECTION,10,framing_drill,rule,RULE,RULE.M10.FRAMING_DRILL.RULE,unresolved_rule,71,71,literal_implication,high
CAP.FRAMING_REGRESSION_DETECTION,16,late_arrival_test,@block,SCHEMA,SRCFRAG.M16.LATE_ARRIVAL_TEST,source_fragment,140,147,,
