id,kind,item,origin,status,preservation_scope,current_equivalent,evidence,impact,priority,recommended_action,validation_state,notes
DOC-001,file,Atlas 2.7 complete rollback archive,Atlas 2.7,source_missing,placeholder_only,,Atlas_3_0_final.zip::Atlas_3_0_final/legacy_2_7/README.md,Rollback named by Atlas 3.0 cannot be performed or audited,P0,recover_original,observed_missing,The directory contains only an instruction to place the archive there
DOC-002,file,Atlas 3.0 source package,Atlas 3.0,preserved,current_repo_archive,,archives/legacy/Atlas_3_0_final.zip,Not protected by the current repository history,P1,import_as_non_executable_archive,observed_present,Preserve source compiler generated views manifest and validation together
DOC-003,file,Sur-modèle 9.2 source package,Sur-modèle 9.2,preserved,current_repo_archive,,archives/legacy/DOSSIER_SUR_MODELE_9_2.zip,Not protected by the current repository history,P1,import_as_non_executable_archive,observed_present,Formal 11.x provenance does not backlink to 9.2
DOC-004,file,Corpus 9.8 source package,Corpus 9.8,source_missing,named_only,,CORPUS_10_0_DEPLOY.zip::11_MIGRATION_9_8_VERS_10_0.md,Transition from 9.x to 10.0 cannot be independently audited,P0,recover_original,observed_missing,Existence is established by the migration title; contents are absent
DOC-005,file,Corpus 10.0 complete package,Corpus 10.0,preserved,current_repo_archive,,archives/legacy/CORPUS_10_0_DEPLOY.zip,Recoverable but hidden behind a nested archive,P2,extract_and_hash_into_archive_store,observed_present,10.1 reports binary hash preservation
DOC-006,file,Corpus 10.1 complete package,Corpus 10.1,preserved,current_repo_archive,Certain 01-18 fragments are retained in 11.x provenance,archives/legacy/CORPUS_10_1_DEPLOY.zip,Original topology manifests validations hashes and module 00 are absent from the current repository,P1,import_as_non_executable_archive,observed_present,Do not replace 11.x runtime with this package
DOC-007,file,Corpus 10.2 complete package,Corpus 10.2,source_missing,named_only,,CORPUS_10_3_CORRECTIF_FICTION.zip::11_MIGRATION_10_2_VERS_10_3.md,Claims that 10.3 preserves 10.2 cannot be independently checked,P0,recover_original,observed_missing,10.3 is a corrective patch rather than a complete 10.2 archive
DOC-008,file,Corpus 10.3 corrective patch,Corpus 10.3,preserved,current_repo_archive,Parts are retained in the 10.x source references,archives/legacy/CORPUS_10_3_CORRECTIF_FICTION.zip,Unchanged 10.2 modules are not contained in this patch,P1,import_as_non_executable_patch,observed_present,Keep its partial-package status explicit
DOC-009,file,Corpus 10.4 complete release,Corpus 10.4,source_missing,fragments_only,11.x source references contain 10.4-era fragments,/home/olivier/Téléchargements/Manuel visuel du noyau et du routage.png,No complete module set module 00 manifest hashes or release validation is available,P0,recover_or_reconstruct_with_gap_labels,observed_missing,The visual title says 10.3 while embedded status says 10.4
DOC-010,file,Editable source of the visual manual,10.3/10.4 visual manual,source_missing,raster_only,,/home/olivier/Téléchargements/Manuel visuel du noyau et du routage.png,Text layers layout components and generation provenance cannot be revised reliably,P1,recover_svg_pptx_figma_or_builder,observed_missing,The PNG itself remains usable as a rendered source
DOC-011,file,Two contextual PDF works,10.1 context library,preserved,current_repo,corpus-context-library,docs/source-integrity.json,No material loss detected,P3,no_action,hash_recorded,They remain contextual and non-executable
DOC-012,file,Original per-module 10.x file topology,Corpus 10.x,archived_without_route,concatenated_source_references,provenance-audit,skills/provenance-audit/references/03_SOURCES_10x_01-09.md; skills/provenance-audit/references/04_SOURCES_10x_10-18.md,Original package boundaries release artifacts and module 00 are not reproduced,P1,preserve_complete_releases_separately,observed_partial,Concatenated provenance is not equivalent to a release archive
CAP-001,capability,Command and execution contract,Atlas 3.0,preserved,current_skill,command-effect-verification,Atlas_3_0_final.zip::atlas.atl::command_contract,Request recommendation binding order receipt execution effect and interruption are no longer one routed object,P0,design_candidate_capability,deployed_local_not_reobserved,Preserve each link without collapsing it into generic transmission
CAP-002,capability,Effective presence lattice D-PKG-CTX-EXE-VER,Atlas 3.0,preserved,current_skill,effective-presence-assessment,Atlas_3_0_final.zip::atlas.atl::self_model,Resource presence and execution availability can be overstated,P0,design_candidate_capability,deployed_local_not_reobserved,Distinct from patch lifecycle status
CAP-003,capability,Patchbay functional decoupling before keep-stop decisions,Atlas 3.0,preserved,current_skill,functional-decoupling-assessment,Atlas_3_0_final.zip::atlas.atl::patchbay,Useful isolable functions may be lost in global retain or stop decisions,P1,design_candidate_capability,deployed_local_not_reobserved,Observation memory recommendation command execution replication and deletion must remain separable
CAP-004,capability,Terminal and recovery contract,Atlas 3.0,preserved,current_skill,terminal-recovery-assessment,Atlas_3_0_final.zip::atlas.atl::terminal; Atlas_3_0_final.zip::atlas.atl::reaction_recovery,Fallible suspension can be recommended without actor threshold lost options loss bearer or tested recovery,P0,design_candidate_capability,deployed_local_not_reobserved,Do not reduce this to generic reversibility
CAP-005,capability,Numeric confidence convention gate,Atlas 3.0,preserved,current_rule_skill,confidence-convention,Atlas_3_0_final.zip::atlas.atl::confidence,Unsupported numerical precision may pass without scale anchors method and scope,P1,design_candidate_rule_set,deployed_local_not_reobserved,Qualitative scoped confidence remains the default candidate
CAP-006,procedure,Expansion then Audit two-pass procedure,Atlas 3.0,preserved,current_procedure_skill,expand-then-audit,Atlas_3_0_final.zip::atlas.atl::pass Expansion; Atlas_3_0_final.zip::atlas.atl::pass Audit,Current local capabilities do not preserve the exact expand-before-compress discipline,P2,keep_archived_until_failure_trace,deployed_local_not_reobserved,Restoration could reintroduce procedural overreach
CAP-007,rule,Positive duty to conclude,Corpus 10.x,preserved,current_rule_skill,conclusion-discipline,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::positive_conclusion_duty,A corpus-routed analysis can retain useful facts yet fail to state the strongest supported conclusion,P1,consider_runtime_invariant,deployed_local_not_reobserved,Do not restore the full fixed answer template
CAP-008,rule,Continuation burden,Corpus 10.x,preserved,current_rule_skill,conclusion-discipline,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::continuation_burden,Analysis may continue without naming which conclusion claim can still change,P1,consider_runtime_invariant,deployed_local_not_reobserved,Strong candidate for a compact global stop rule
CAP-009,capability,Defense boundary between secrecy and public control,Sur-modèle 9.2 and Corpus 10.x,preserved,current_skill,defense-accountability-boundary,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::defense_boundary,Security analysis may collapse into disclosure or opacity instead of separating sensitive detail from non-sensitive accountability,P0,design_candidate_capability,deployed_local_not_reobserved,Needs legal and safety review before activation
CAP-010,capability,Temporal power rate limits and unequal delay,Sur-modèle 9.2 and Corpus 10.x,preserved,current_skill,temporal-power-assessment,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::rate_limit; decision_time; rhythm_power,Delay cadence and suspension can alter losses without appearing as power,P0,design_candidate_capability,deployed_local_not_reobserved,Preserve separate RULE SCHEMA roles during lifting
CAP-011,capability,Relation loss without object disappearance,Sur-modèle 9.2 and Corpus 10.x,preserved,current_skill,relation-loss-assessment,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::relation_loss,Loss of neighborhood reconnection or transmission may be missed when objects remain present,P1,design_candidate_capability,deployed_local_not_reobserved,Distinct from repair sufficiency and continuity
CAP-012,procedure,Majority-first historical response order,Sur-modèle 9.2 and Corpus 10.x,absorbed,current_capabilities,historical-start-selection; framing-regression-detection; extraction-mapping,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::majority_first,The strict order is gone but several discriminating functions survive,P2,keep_archived_do_not_restore_globally,partially_represented,Consider a contextual history procedure only after independent failures
CAP-013,capability,Co-maintenance role topology,Corpus 10.1-10.4,preserved,current_skill,co-maintenance-governance,skills/provenance-audit/references/04_SOURCES_10x_10-18.md::co_maintenance_topology,Lifecycle levels survive but allocation of authority between model host user and runtime is less explicit,P1,extend_change_validation_candidate,deployed_local_not_reobserved,Do not claim restoration until role refusal rollback and activation tests exist
CAP-014,rule,Privacy distinction for testimony identity and raw data,Sur-modèle 9.2 and Corpus 10.x,preserved,current_skill,privacy-recourse-boundary,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::privacy,Repair or provenance work may expose data that was supplied only for recourse,P1,consider_contextual_rule,deployed_local_not_reobserved,Requires coordination with platform privacy rules
POL-001,policy,Mandatory keyword routing and universal module invocation,Corpus 9.2-10.x,absorbed,current_router,smallest causally sufficient subgraph,skills/corpus-11-routing/references/01_CONTRAT_SEMANTIQUE_11_v4.md,Restoring it would let taxonomy replace the user scene,P3,do_not_restore,validated_by_design,Functional routing survives without keyword sovereignty
POL-002,policy,Monolithic corpus constitution governing every response,Corpus 9.2-10.x,absorbed,current_router,optional capability graph,skills/corpus-11-routing/references/01_CONTRAT_SEMANTIQUE_11_v4.md,Restoration would increase method capture and framing regression,P3,do_not_restore,validated_by_design,Preserve provenance without runtime supremacy
POL-003,policy,Absolute fiction trope bans,10.3/10.4 visual and fiction patch,absorbed,current_fiction_isolation,fiction-external-generation; fiction-mechanism-transformation,skills/corpus-11-routing/references/01_CONTRAT_SEMANTIQUE_11_v4.md,Fiction isolation now blocks corpus seeding while allowing user-requested motifs,P3,do_not_restore,represented_with_direction_fix,Audit may reject but may not generate replacement content
POL-004,policy,Fixed universal answer order,Corpus 9.2-10.x,archived_without_route,source_reference,User-agency and conclusion rules partial,skills/provenance-audit/references/03_SOURCES_10x_01-09.md::answer_order,Restoration could improve consistency but also override task-specific form,P3,keep_archived,not_proposed,Retain only local conclusion and stop invariants if promoted
